question,answer,category,difficulty
"What is SIP?","SIP is Systematic Investment Plan where you invest small fixed amounts regularly.","Investing Basics","Beginner"
"How much should I invest monthly?","Start with what feels comfortable. Even ₹100 is okay. Consistency matters.","Getting Started","Beginner"
"Do I need an emergency fund?","Yes, 3-6 months of expenses helps before risky investments.","Safety","Beginner"
"Is it okay to start with ₹1000?","Yes. Amount doesn't matter. Habit matters.","Motivation","Beginner"
"What if I lose money?","Temporary ups and downs are normal. Diversification protects you.","Confidence","Beginner"
"Should I invest salary or savings?","Start by saving then investing a portion regularly.","Planning","Beginner"
"How to pick a mutual fund?","Look for diversified funds, low-cost options, and steady long-term returns.","SIP","Intermediate"
"Can I invest if I don't have job?","Better to build emergency savings first.","Safety","Beginner"
"Should I invest before clearing debt?","Pay high-interest loans first such as credit card or BNPL.","Debt","Beginner"
"How many SIPs should I have?","Start with 1–2 well-diversified SIPs.","SIP","Beginner"
"What if markets fall after I invest?","Stay calm. Falling markets are temporary and help long-term investors buy cheaper.","Confidence","Beginner"
"Is gold a good investment?","Gold protects against inflation but shouldn’t be 100% of portfolio.","Assets","Beginner"
"Should I check my investments daily?","No. Checking monthly or quarterly helps avoid emotional decisions.","Discipline","Beginner"
"Is IPO safe for beginners?","Not always. IPOs can be unpredictable.","IPO","Intermediate"
"How long should I invest in SIPs?","For long-term goals, ideally 5+ years.","SIP","Beginner"
"What is rebalancing?","Adjusting investments to maintain original allocation.","Portfolio","Intermediate"
"Can I stop my SIP anytime?","Yes, SIP is flexible.","SIP","Beginner"
"What if I start late?","You can still invest. Increase consistency or amount.","Motivation","Beginner"
"What is diversification?","Investing in multiple assets to reduce risk.","Portfolio","Beginner"
"Is crypto safe?","Crypto is high risk and should be only a small part of portfolio.","Crypto","Advanced"
"What if my SIP gives negative return?","Short-term losses are common. Long-term investing reduces volatility.","Emotion","Beginner"
"How many mutual funds are enough?","Usually 1–3 diversified funds for beginners.","SIP","Intermediate"
"What is an index?","A group of selected companies representing market performance.","Basics","Beginner"
"Can I invest as a student?","Yes, even small SIP amounts build discipline.","Students","Beginner"
"How do I avoid scams?","Invest only via trusted platforms and SEBI-registered advisors.","Safety","Beginner"
"Is lump sum better than SIP?","SIP reduces timing risk, lump sum suits experienced investors.","Strategy","Intermediate"
"What if I lose my job?","Use emergency fund. Pause investments until stable.","Life Situation","Beginner"
"Should I withdraw during market crash?","No. Crashes are temporary. Stay invested.","Emotion","Beginner"
"Can investing make me rich?","Yes—with time, discipline, and consistency.","Motivation","Beginner"
"How much should I save monthly?","10-30% of income depending on expenses.","Saving","Beginner"
"What platform should I use?","Choose licensed, simple platforms with low charges.","Tools","Beginner"
"What is SIP pause?","Temporary stop without closing your investment.","SIP","Beginner"
"What is a risk profile test?","A tool to decide ideal investment type based on personality.","Risk","Beginner"
"Do I need to check SIP every day?","No. Monthly check is enough.","Discipline","Beginner"
"Can I change SIP amount later?","Yes, you can increase, decrease or step-up.","SIP","Beginner"
