term,meaning
SIP,Systematic Investment Plan
NAV,Net Asset Value of a mutual fund
Portfolio,Collection of investments you own
Diversification,Investing in multiple assets to reduce risk
CAGR,Compound Annual Growth Rate
Index Fund,Fund that mimics market performance like NIFTY or S&P500
ETF,Exchange traded fund similar to mutual fund but traded like stock
Asset Allocation,How money is divided across different investment types
Rebalancing,Adjusting portfolio to maintain intended allocation
Benchmark,A standard used to measure performance (like NIFTY50)
Volatility,How frequently asset price moves up or down
Risk-Adjusted Return,Return considering both gains and risk volatility
Stop Loss,A market tool to limit excessive loss
Asset,Something you own that can grow in value
Liability,Something that takes money from you (loan, EMI)
Equity,Ownership in a company (shares)
Debt Fund,Investment in government or corporate bonds
REIT,Real Estate Investment Trust
NAV,Price per unit of a mutual fund
Blue Chip Companies,Trusted large companies with stable record
Liquidity,How quickly you can access your money
Alpha,Performance compared to benchmark
Sharpe Ratio,Return adjusted for risk
Expense Ratio,Management fee for mutual fund
Stock Split,When a company issues more shares and reduces price
Dividend,Profit distribution by companies
Yield,Income return on investment
Tax Harvesting,Selling investments strategically to reduce tax
Corpus,Total accumulated investment amount
SIP Step-Up,Increasing SIP automatically every year
Drawdown,Temporary decline in portfolio value
Time Horizon,Duration planned to stay invested
Volatility Risk,Risk of frequent price swings
